id,public,gender,region,age
646,1,1,"zilinsky kraj, kysucke nove mesto",20
655,1,0,"zilinsky kraj, kysucke nove mesto",19
668,1,0,"trnavsky kraj, senica",20
683,1,0,"zilinsky kraj, cadca",0
690,0,0,"zilinsky kraj, cadca",18
694,1,0,"zilinsky kraj, zilina",0
699,1,0,"zilinsky kraj, kysucke nove mesto",18
706,1,1,"zilinsky kraj, kysucke nove mesto",25
716,1,1,"zilinsky kraj, kysucke nove mesto",23
721,0,0,"zilinsky kraj, kysucke nove mesto",19
723,0,0,"zilinsky kraj, kysucke nove mesto",0
724,1,1,"zahranicie, zahranicie - australia",22
734,1,0,"zilinsky kraj, kysucke nove mesto",21
744,1,1,"zilinsky kraj, kysucke nove mesto",0
746,1,0,"zilinsky kraj, kysucke nove mesto",20
747,0,1,"zilinsky kraj, kysucke nove mesto",0
807,0,0,"zilinsky kraj, kysucke nove mesto",0
810,0,0,"zilinsky kraj, kysucke nove mesto",20
814,1,1,"zilinsky kraj, kysucke nove mesto",25
815,1,0,"zilinsky kraj, kysucke nove mesto",20
819,1,1,"zilinsky kraj, kysucke nove mesto",21
825,1,1,"zilinsky kraj, kysucke nove mesto",24
832,1,0,"zilinsky kraj, kysucke nove mesto",22
840,0,1,"zilinsky kraj, zilina",0
842,1,1,"zilinsky kraj, zilina",23
843,0,1,"zilinsky kraj, zilina",24
854,1,0,"zilinsky kraj, kysucke nove mesto",21
888,1,1,"zilinsky kraj, zilina",0
925,1,1,"zilinsky kraj, zilina",23
928,0,0,"zilinsky kraj, kysucke nove mesto",0
948,0,1,"zilinsky kraj, zilina",24
974,1,1,"zilinsky kraj, kysucke nove mesto",19
986,0,1,"zahranicie, zahranicie - gb",17
1000,1,0,"zahranicie, zahranicie - gb",16
1028,1,1,"zilinsky kraj, kysucke nove mesto",24
1034,0,0,"zilinsky kraj, kysucke nove mesto",20
1041,1,1,"zahranicie, zahranicie - gb",19
1045,0,0,"zilinsky kraj, kysucke nove mesto",19
1050,1,0,"zilinsky kraj, kysucke nove mesto",19
1055,0,1,"zilinsky kraj, zilina",21
1072,1,1,"zahranicie, zahranicie - australia",0
1082,0,0,"zilinsky kraj, kysucke nove mesto",0
1085,0,1,"zilinsky kraj, kysucke nove mesto",20
1086,0,0,"zilinsky kraj, kysucke nove mesto",21
1103,1,1,"zilinsky kraj, zilina",24
1119,0,0,"zilinsky kraj, martin",25
1132,1,0,"zilinsky kraj, kysucke nove mesto",19
1142,0,1,"zilinsky kraj, kysucke nove mesto",0
1143,1,0,"zilinsky kraj, kysucke nove mesto",0
1145,1,0,"zilinsky kraj, kysucke nove mesto",0
1148,1,1,"zilinsky kraj, kysucke nove mesto",18
1150,0,0,"zilinsky kraj, kysucke nove mesto",0
1153,1,0,"zilinsky kraj, kysucke nove mesto",0
1159,1,1,"zilinsky kraj, kysucke nove mesto",20
1163,1,0,"zilinsky kraj, kysucke nove mesto",24
1189,1,0,"zilinsky kraj, kysucke nove mesto",20
1190,1,1,"zilinsky kraj, kysucke nove mesto",21
1198,1,1,"zilinsky kraj, kysucke nove mesto",0
1199,0,1,"zilinsky kraj, kysucke nove mesto",22
1245,0,1,"zahranicie, zahranicie - usa",0
1249,1,1,"zilinsky kraj, zilina",22
1252,1,1,"zilinsky kraj, zilina",22
1273,1,0,"zilinsky kraj, kysucke nove mesto",22
1274,1,1,"zilinsky kraj, kysucke nove mesto",19
1275,1,0,"zilinsky kraj, zilina",23
1281,1,0,"zilinsky kraj, kysucke nove mesto",21
1288,1,0,"zilinsky kraj, zilina",0
1290,0,0,"zilinsky kraj, namestovo",18
1297,1,1,"zilinsky kraj, kysucke nove mesto",0
1302,1,0,"zilinsky kraj, krasno nad kysucou",17
1317,1,0,"zilinsky kraj, kysucke nove mesto",14
1323,1,1,"zilinsky kraj, kysucke nove mesto",0
1326,1,0,"zilinsky kraj, kysucke nove mesto",0
1330,1,1,"zilinsky kraj, kysucke nove mesto",14
1331,1,0,"zilinsky kraj, kysucke nove mesto",16
1333,1,0,"zilinsky kraj, kysucke nove mesto",0
1396,1,1,"zilinsky kraj, kysucke nove mesto",0
1407,1,1,"trenciansky kraj, prievidza",12
1409,1,1,"zilinsky kraj, kysucke nove mesto",20
1410,1,1,"zilinsky kraj, kysucke nove mesto",19
1412,1,0,"zahranicie, zahranicie - ostatne",0
1415,0,0,"zilinsky kraj, kysucke nove mesto",18
1416,0,0,"zilinsky kraj, cadca",18
1419,1,1,"zilinsky kraj, kysucke nove mesto",17
1424,0,1,"zilinsky kraj, cadca",0
1432,0,1,"zilinsky kraj, kysucke nove mesto",0
1441,1,1,"zilinsky kraj, kysucke nove mesto",18
1448,0,1,"zilinsky kraj, kysucke nove mesto",0
1449,1,1,"zilinsky kraj, kysucke nove mesto",17
1451,0,0,"zilinsky kraj, kysucke nove mesto",19
1458,1,1,"zilinsky kraj, kysucke nove mesto",13
1474,1,0,"zilinsky kraj, kysucke nove mesto",27
1483,1,1,"zilinsky kraj, kysucke nove mesto",18
1496,1,1,"zilinsky kraj, kysucke nove mesto",0
1504,1,1,"zilinsky kraj, kysucke nove mesto",30
1505,1,1,"zilinsky kraj, kysucke nove mesto",0
1506,1,0,"zilinsky kraj, kysucke nove mesto",22
1516,1,0,"zilinsky kraj, kysucke nove mesto",0
1530,1,0,"zilinsky kraj, kysucke nove mesto",0
1535,1,1,"zilinsky kraj, krasno nad kysucou",18
1537,0,0,"zilinsky kraj, kysucke nove mesto",19
1538,1,0,"zilinsky kraj, kysucke nove mesto",18
1554,1,1,"zilinsky kraj, kysucke nove mesto",19
1555,1,1,"zilinsky kraj, cadca",19
1602,0,0,"zilinsky kraj, kysucke nove mesto",0
1610,1,0,"zilinsky kraj, kysucke nove mesto",19
1618,1,1,"zilinsky kraj, zilina",0
1622,0,0,"zilinsky kraj, kysucke nove mesto",19
1627,1,0,"zilinsky kraj, zilina",20
1628,1,0,"zilinsky kraj, kysucke nove mesto",19
1629,1,0,"zilinsky kraj, kysucke nove mesto",16
1631,0,0,"zilinsky kraj, kysucke nove mesto",21
1635,1,1,"zilinsky kraj, kysucke nove mesto",22
1636,1,0,"zilinsky kraj, zilina",20
1664,1,0,"zilinsky kraj, kysucke nove mesto",19
1679,0,0,"zilinsky kraj, kysucke nove mesto",20
1691,1,1,"zilinsky kraj, kysucke nove mesto",24
1711,1,0,"zilinsky kraj, cadca",0
1734,1,0,"zilinsky kraj, kysucke nove mesto",19
1768,1,0,"zilinsky kraj, kysucke nove mesto",19
1785,1,1,"zahranicie, zahranicie - ostatne",21
1792,1,1,"zilinsky kraj, kysucke nove mesto",21
1794,1,0,"zilinsky kraj, kysucke nove mesto",20
1795,0,1,"zilinsky kraj, kysucke nove mesto",18
1798,0,1,"zahranicie, zahranicie - kanada",18
1799,1,0,"zilinsky kraj, kysucke nove mesto",24
1830,0,1,"zahranicie, zahranicie - gb",0
1835,1,1,"kosicky kraj, kosice - okolie",16
1839,1,1,"zilinsky kraj, zilina",22
1843,1,1,"zilinsky kraj, kysucke nove mesto",18
1849,1,1,"zahranicie, zahranicie - francuzsko",18
1855,1,0,"zilinsky kraj, cadca",0
1879,0,1,"zilinsky kraj, kysucke nove mesto",20
1891,1,1,"bratislavsky kraj, bratislava - stare mesto",0
1898,1,0,"zilinsky kraj, kysucke nove mesto",22
1905,1,1,"zilinsky kraj, turzovka",17
1909,1,0,"zilinsky kraj, zilina",18
1916,1,0,"zilinsky kraj, cadca",0
1922,1,0,"zilinsky kraj, turzovka",0
1924,0,0,"zilinsky kraj, kysucke nove mesto",25
1935,1,1,"zilinsky kraj, kysucke nove mesto",22
1950,1,0,"zilinsky kraj, zilina",22
1962,0,0,"zilinsky kraj, kysucke nove mesto",23
1980,1,1,"zilinsky kraj, kysucke nove mesto",23
1995,1,1,"zilinsky kraj, zilina",22
2013,0,1,"zilinsky kraj, kysucke nove mesto",16
2040,0,0,"zilinsky kraj, zilina",21
2050,0,0,"zilinsky kraj, kysucke nove mesto",17
2082,0,1,"zilinsky kraj, kysucke nove mesto",20
2097,0,1,"zilinsky kraj, kysucke nove mesto",29
2110,0,0,"zilinsky kraj, zilina",21
2133,1,1,"zilinsky kraj, zilina",19
2140,0,0,"zilinsky kraj, kysucke nove mesto",14
2141,0,0,"zilinsky kraj, kysucke nove mesto",0
2145,1,0,"zilinsky kraj, kysucke nove mesto",21
2184,1,1,"zilinsky kraj, zilina",26
2240,1,0,"zilinsky kraj, kysucke nove mesto",22
2265,0,0,"zilinsky kraj, zilina",0
2313,1,0,"zilinsky kraj, kysucke nove mesto",19
2317,1,1,"zilinsky kraj, kysucke nove mesto",0
2332,1,0,"zilinsky kraj, kysucke nove mesto",20
2333,0,0,"zilinsky kraj, kysucke nove mesto",18
2338,0,0,"zilinsky kraj, kysucke nove mesto",18
2355,1,0,"zilinsky kraj, zilina",0
2361,0,0,"nitriansky kraj, topolcany",17
2385,0,0,"zilinsky kraj, cadca",18
2393,0,0,"zilinsky kraj, kysucke nove mesto",21
2404,0,1,"zahranicie, zahranicie - ostatne",0
2431,1,1,"banskobystricky kraj, lucenec",21
2439,0,0,"zilinsky kraj, kysucke nove mesto",20
2447,0,0,"zilinsky kraj, kysucke nove mesto",17
2452,0,0,"zilinsky kraj, kysucke nove mesto",0
2454,1,0,"zilinsky kraj, kysucke nove mesto",0
2464,0,0,"zilinsky kraj, kysucke nove mesto",19
2476,1,0,"zilinsky kraj, kysucke nove mesto",20
2504,1,0,"zilinsky kraj, bytca",0
2508,1,1,"zilinsky kraj, kysucke nove mesto",0
2521,1,0,"zilinsky kraj, kysucke nove mesto",0
2522,1,1,"zilinsky kraj, kysucke nove mesto",19
2529,1,0,"zilinsky kraj, zilina",20
2567,1,1,"zilinsky kraj, zilina",0
2577,0,1,"zilinsky kraj, kysucke nove mesto",17
2601,0,0,"zilinsky kraj, zilina",21
2625,1,0,"zilinsky kraj, zilina",19
2642,0,0,"ceska republika, cz - praha",0
2653,1,0,"zilinsky kraj, zilina",22
2663,0,1,"zahranicie, zahranicie - usa",21
2778,0,0,"zilinsky kraj, kysucke nove mesto",21
2828,1,1,"zilinsky kraj, zilina",27
2837,0,0,"zilinsky kraj, kysucke nove mesto",25
2856,0,1,"ceska republika, cz - praha",0
2863,1,0,"zilinsky kraj, kysucke nove mesto",18
2874,1,1,"zilinsky kraj, zilina",21
2881,0,0,"zahranicie, zahranicie - ostatne",19
2886,1,0,"zilinsky kraj, kysucke nove mesto",18
2901,0,0,"zilinsky kraj, kysucke nove mesto",16
2902,0,0,"zahranicie, zahranicie - usa",0
2906,1,1,"trnavsky kraj, trnava",0
2915,1,1,"zilinsky kraj, kysucke nove mesto",20
2916,1,0,"zilinsky kraj, kysucke nove mesto",22
2918,0,0,"zilinsky kraj, kysucke nove mesto",17
2921,1,1,"zahranicie, zahranicie - australia",0
2925,1,1,"zilinsky kraj, kysucke nove mesto",23
2928,1,0,"zilinsky kraj, zilina",0
2931,1,1,"zilinsky kraj, kysucke nove mesto",25
2932,0,1,"zahranicie, zahranicie - kanada",0
2944,0,0,"zilinsky kraj, zilina",21
2973,1,0,"zilinsky kraj, kysucke nove mesto",18
2978,1,0,"zahranicie, zahranicie - usa",0
2981,1,0,"zilinsky kraj, kysucke nove mesto",17
2987,1,1,"zilinsky kraj, kysucke nove mesto",32
2997,0,1,"zilinsky kraj, kysucke nove mesto",19
3002,1,1,"zilinsky kraj, kysucke nove mesto",30
3004,1,0,"zilinsky kraj, zilina",17
3042,0,0,"ceska republika, cz - praha",21
3048,1,1,"zilinsky kraj, kysucke nove mesto",23
3063,1,0,"zilinsky kraj, kysucke nove mesto",0
3064,0,1,"zilinsky kraj, zilina",20
3070,1,0,"zilinsky kraj, zilina",0
3072,1,0,"zilinsky kraj, zilina",19
3085,0,0,"zilinsky kraj, kysucke nove mesto",20
3098,1,1,"zilinsky kraj, kysucke nove mesto",21
3101,1,1,"zilinsky kraj, kysucke nove mesto",18
3125,1,1,"zilinsky kraj, zilina",0
3131,1,0,"zilinsky kraj, zilina",18
3141,1,1,"zilinsky kraj, kysucke nove mesto",0
3158,1,0,"zilinsky kraj, zilina",16
3180,1,1,"zilinsky kraj, cadca",19
3203,1,0,"banskobystricky kraj, brezno",21
3208,1,0,"banskobystricky kraj, brezno",21
3215,0,0,"zilinsky kraj, kysucke nove mesto",0
3219,0,0,"zahranicie, zahranicie - ostatne",18
3230,0,0,"zilinsky kraj, cadca",0
3273,1,0,"zilinsky kraj, cadca",0
3275,1,0,"zilinsky kraj, zilina",0
3279,1,0,"zilinsky kraj, kysucke nove mesto",18
3303,1,0,"zilinsky kraj, cadca",17
3335,1,1,"zilinsky kraj, zilina",19
3344,0,0,"zilinsky kraj, rajec",17
3410,0,0,"zahranicie, zahranicie - gb",0
3417,1,0,"trnavsky kraj, trnava",20
3422,0,1,"zahranicie, zahranicie - ostatne",19
3444,1,1,"bratislavsky kraj, bratislava - petrzalka",0
3462,0,0,"zilinsky kraj, zilina",0
3467,1,1,"zilinsky kraj, kysucke nove mesto",20
3537,1,0,"presovsky kraj, bardejov",0
3556,0,0,"zilinsky kraj, kysucke nove mesto",20
3566,0,0,"nitriansky kraj, surany",0
3624,1,1,"zilinsky kraj, kysucke nove mesto",0
3640,1,0,"trenciansky kraj, nove mesto nad vahom",0
3641,1,0,"trenciansky kraj, nove mesto nad vahom",0
3653,1,0,"trnavsky kraj, trnava",0
3698,1,1,"zilinsky kraj, kysucke nove mesto",24
3705,0,0,"banskobystricky kraj, banska bystrica",23
3719,1,0,"zilinsky kraj, kysucke nove mesto",0
3729,0,0,"zilinsky kraj, kysucke nove mesto",19
3734,1,1,"zahranicie, zahranicie - ostatne",111
3755,1,1,"zilinsky kraj, zilina",24
3756,1,0,"zahranicie, zahranicie - gb",20
3761,1,0,"zahranicie, zahranicie - ostatne",0
3781,1,1,"trnavsky kraj, trnava",18
3812,0,0,"zilinsky kraj, kysucke nove mesto",0
3875,1,1,"bratislavsky kraj, bratislava - stare mesto",0
3893,0,0,"zilinsky kraj, kysucke nove mesto",0
3896,1,1,"zilinsky kraj, cadca",22
3904,1,1,"zilinsky kraj, namestovo",19
3906,1,1,"zilinsky kraj, namestovo",19
3908,1,1,"zilinsky kraj, namestovo",0
3917,1,1,"zilinsky kraj, namestovo",19
3938,0,0,"zilinsky kraj, cadca",17
3940,0,0,"zilinsky kraj, rajec",0
3942,1,0,"zilinsky kraj, kysucke nove mesto",0
3943,1,0,"zilinsky kraj, zilina",22
3944,0,0,"zilinsky kraj, zilina",18
3951,1,1,"zilinsky kraj, namestovo",0
3955,1,1,"zilinsky kraj, namestovo",0
3979,1,0,"trnavsky kraj, trnava",0
3988,1,1,"trnavsky kraj, trnava",0
3991,1,0,"trnavsky kraj, trnava",17
3997,1,0,"trnavsky kraj, trnava",0
4000,0,0,"trnavsky kraj, hlohovec",0
4016,1,0,"zilinsky kraj, kysucke nove mesto",24
4055,1,1,"trnavsky kraj, trnava",0
4076,0,0,"zilinsky kraj, zilina",0
4078,1,1,"banskobystricky kraj, brezno",16
4083,1,1,"banskobystricky kraj, brezno",18
4107,0,0,"trnavsky kraj, hlohovec",0
4121,0,0,"zilinsky kraj, cadca",0
4150,0,0,"banskobystricky kraj, brezno",21
4159,1,1,"banskobystricky kraj, brezno",20
4185,1,1,"trnavsky kraj, trnava",0
4187,1,1,"trnavsky kraj, trnava",17
4194,1,1,"trnavsky kraj, trnava",20
4196,1,1,"trnavsky kraj, trnava",0
4197,1,1,"trnavsky kraj, trnava",0
4201,1,1,"zahranicie, zahranicie - ostatne",20
4213,1,0,"zilinsky kraj, kysucke nove mesto",21
4276,0,0,"banskobystricky kraj, brezno",25
4287,1,0,"banskobystricky kraj, brezno",20
4291,0,0,"presovsky kraj, bardejov",0
4295,1,0,"zilinsky kraj, cadca",20
4296,1,0,"nitriansky kraj, nove zamky",17
4326,0,0,"zilinsky kraj, kysucke nove mesto",0
4330,0,0,"zilinsky kraj, kysucke nove mesto",17
4384,1,1,"banskobystricky kraj, brezno",19
4419,1,0,"zilinsky kraj, namestovo",18
4423,0,0,"kosicky kraj, michalovce",0
4453,1,0,"zilinsky kraj, cadca",0
4470,1,1,"zahranicie, zahranicie - ostatne",19
4495,0,0,"banskobystricky kraj, nova bana",24
4516,1,1,"zilinsky kraj, kysucke nove mesto",20
4528,0,0,"zilinsky kraj, cadca",17
4560,1,1,"trnavsky kraj, trnava",20
4561,1,0,"trnavsky kraj, trnava",0
4564,1,0,"trnavsky kraj, trnava",18
4567,1,0,"trnavsky kraj, trnava",0
4573,1,1,"trnavsky kraj, trnava",20
4582,1,0,"banskobystricky kraj, brezno",21
4584,1,1,"banskobystricky kraj, banska bystrica",23
4592,1,0,"zilinsky kraj, zilina",0
4593,1,1,"zilinsky kraj, kysucke nove mesto",0
4598,1,1,"zilinsky kraj, cadca",0
4619,1,1,"zilinsky kraj, kysucke nove mesto",24
4624,1,1,"zilinsky kraj, zilina",102
4652,0,0,"zilinsky kraj, cadca",22
4660,1,0,"zilinsky kraj, cadca",0
4661,0,1,"banskobystricky kraj, banska bystrica",0
4665,1,0,"banskobystricky kraj, brezno",18
4687,1,1,"zahranicie, zahranicie - ostatne",19
4698,1,0,"zilinsky kraj, kysucke nove mesto",0
4700,1,1,"zilinsky kraj, cadca",23
4703,1,1,"zilinsky kraj, zilina",0
4757,0,1,"bratislavsky kraj, bratislava - petrzalka",20
4760,0,1,"bratislavsky kraj, bratislava - petrzalka",21
4793,1,1,"zilinsky kraj, zilina",21
4804,1,1,"zilinsky kraj, kysucke nove mesto",20
4807,0,1,"zilinsky kraj, zilina",22
4821,0,1,"zilinsky kraj, kysucke nove mesto",21
4848,1,0,"bratislavsky kraj, malacky",20
4885,0,0,"zilinsky kraj, zilina",18
4890,1,1,"zilinsky kraj, cadca",26
4895,1,0,"zilinsky kraj, cadca",21
4899,1,1,"zilinsky kraj, cadca",44
4903,0,0,"zilinsky kraj, cadca",0
4954,1,1,"zilinsky kraj, zilina",0
4956,0,1,"zilinsky kraj, zilina",23
5008,0,1,"zilinsky kraj, cadca",0
5009,0,0,"zilinsky kraj, turzovka",0
5013,1,0,"zahranicie, zahranicie - ostatne",16
5026,1,0,"banskobystricky kraj, brezno",19
5038,0,0,"zilinsky kraj, kysucke nove mesto",16
5044,1,1,"zilinsky kraj, zilina",19
5076,1,1,"banskobystricky kraj, brezno",21
5081,1,0,"zilinsky kraj, kysucke nove mesto",19
5109,1,0,"zilinsky kraj, namestovo",0
5118,1,0,"zilinsky kraj, cadca",18
5144,1,0,"zahranicie, zahranicie - ostatne",21
5145,1,1,"zilinsky kraj, zilina",18
5167,1,0,"zilinsky kraj, cadca",22
5190,0,1,"zilinsky kraj, kysucke nove mesto",25
5255,1,1,"zilinsky kraj, kysucke nove mesto",0
5269,0,1,"zahranicie, zahranicie - ostatne",18
5289,0,0,"zilinsky kraj, cadca",19
5300,1,0,"zilinsky kraj, kysucke nove mesto",0
5302,1,0,"zilinsky kraj, kysucke nove mesto",14
5359,0,1,"zilinsky kraj, zilina",0
5363,1,1,"zilinsky kraj, zilina",0
5364,1,1,"kosicky kraj, spisska nova ves",0
5368,1,1,"trnavsky kraj, hlohovec",0
5385,0,0,"banskobystricky kraj, brezno",0
5412,1,1,"zilinsky kraj, kysucke nove mesto",18
5417,1,1,"zilinsky kraj, liptovsky mikulas",0
5421,1,0,"zilinsky kraj, kysucke nove mesto",18
5450,1,0,"zilinsky kraj, cadca",18
5474,0,1,"banskobystricky kraj, brezno",21
5510,0,1,"banskobystricky kraj, brezno",21
5512,0,1,"banskobystricky kraj, brezno",0
5513,0,0,"banskobystricky kraj, brezno",0
5544,1,0,"zahranicie, zahranicie - rakusko",21
5548,1,1,"banskobystricky kraj, brezno",21
5571,1,0,"zilinsky kraj, cadca",19
5631,1,0,"zilinsky kraj, dolny kubin",21
5632,1,0,"zilinsky kraj, kysucke nove mesto",0
5656,0,0,"zilinsky kraj, kysucke nove mesto",0
5683,0,1,"banskobystricky kraj, banska bystrica",22
5685,1,1,"banskobystricky kraj, brezno",0
5692,1,1,"zilinsky kraj, cadca",23
5695,1,1,"zilinsky kraj, cadca",0
5725,1,0,"zilinsky kraj, kysucke nove mesto",22
5755,1,1,"zilinsky kraj, kysucke nove mesto",17
5778,1,0,"zilinsky kraj, kysucke nove mesto",24
5807,1,0,"banskobystricky kraj, brezno",25
5809,1,0,"zilinsky kraj, kysucke nove mesto",24
5814,1,0,"zilinsky kraj, zilina",0
5839,1,0,"banskobystricky kraj, brezno",20
5850,1,1,"banskobystricky kraj, krupina",22
5852,1,0,"banskobystricky kraj, detva",21
5854,1,1,"zilinsky kraj, zilina",0
5856,1,1,"zilinsky kraj, cadca",0
5861,1,0,"trenciansky kraj, trencin",16
5862,0,0,"zilinsky kraj, cadca",15
5864,0,1,"zilinsky kraj, cadca",18
5865,0,0,"zilinsky kraj, cadca",16
5866,0,0,"zilinsky kraj, cadca",0
5867,1,1,"bratislavsky kraj, bratislava - stare mesto",0
5868,0,0,"zilinsky kraj, cadca",0
5870,1,1,"trenciansky kraj, handlova",16
5871,1,1,"banskobystricky kraj, brezno",23
5872,0,0,"zilinsky kraj, cadca",0
5874,0,0,"zilinsky kraj, cadca",0
5875,0,1,"zilinsky kraj, zilina",0
5895,1,0,"zilinsky kraj, zilina",19
5912,1,1,"banskobystricky kraj, banska bystrica",0
5918,1,1,"banskobystricky kraj, banska bystrica",0
5925,0,1,"banskobystricky kraj, banska bystrica",17
5935,1,1,"bratislavsky kraj, bratislava - ruzinov",0
5936,1,1,"zilinsky kraj, cadca",18
5937,0,0,"zilinsky kraj, cadca",0
5938,1,1,"zilinsky kraj, turzovka",20
5944,1,0,"zahranicie, zahranicie - francuzsko",0
5946,0,1,"zilinsky kraj, rajec",20
5957,0,0,"zilinsky kraj, kysucke nove mesto",20
5975,1,1,"banskobystricky kraj, banska bystrica",22
5978,1,0,"banskobystricky kraj, banska bystrica",0
5980,0,1,"banskobystricky kraj, banska bystrica",20
5984,0,0,"zilinsky kraj, kysucke nove mesto",18
5986,1,0,"zilinsky kraj, kysucke nove mesto",18
5989,1,0,"nitriansky kraj, komarno",20
5991,0,0,"zilinsky kraj, kysucke nove mesto",0
6021,1,0,"zilinsky kraj, cadca",0
6023,1,1,"zilinsky kraj, cadca",18
6024,0,1,"zilinsky kraj, cadca",0
6026,1,1,"zilinsky kraj, martin",17
6027,1,1,"zilinsky kraj, cadca",16
6028,0,0,"zilinsky kraj, cadca",0
6029,0,0,"banskobystricky kraj, zarnovica",18
6030,0,1,"zilinsky kraj, cadca",18
6031,1,1,"zilinsky kraj, cadca",19
6033,0,1,"zahranicie, zahranicie - ostatne",0
6035,1,1,"zilinsky kraj, cadca",0
6036,1,0,"zilinsky kraj, cadca",16
6037,1,1,"zilinsky kraj, cadca",16
6038,1,0,"zilinsky kraj, cadca",0
6039,1,1,"zilinsky kraj, kysucke nove mesto",16
6040,0,0,"zilinsky kraj, zilina",0
6053,1,1,"banskobystricky kraj, brezno",21
